Parcel_ID,Date,Depot_ID,Vehicle_Type,Service_Level,Weight_kg,Distance_km,Delivery_Status,Customer_Satisfaction_Score,CO2_Emissions_kg
PNL00000000,2025-03-16,D003,Cargo Bike,Standard,29.47,31.5,Delivered,3,0.0
PNL00000001,2025-03-29,D004,Electric Van,International,10.43,16.2,Delayed,9,0.0
PNL00000002,2025-01-24,D004,Cargo Bike,International,11.23,19.7,Failed-Address,10,0.0
PNL00000003,2025-01-03,D006,Diesel Van,Next Day,18.33,39.2,Delivered,1,5.88
PNL00000004,2025-01-22,D007,Diesel Van,Standard,8.3,16.1,Delivered,1,2.415
PNL00000005,2025-02-22,D001,Diesel Van,Next Day,20.99,43.5,Delivered,10,6.5249999999999995
PNL00000006,2025-01-02,D001,Large Truck,International,4.67,9.4,Delivered,4,7.99
PNL00000007,2025-03-29,D007,Electric Van,Standard,3.33,12.4,Delivered,2,0.0
PNL00000008,2025-01-30,D007,Diesel Van,Next Day,16.09,21.9,Delivered,7,3.2849999999999997
PNL00000009,2025-02-07,D007,Cargo Bike,International,16.71,36.3,Delivered,2,0.0
PNL00000010,2025-01-02,D002,Diesel Van,Next Day,3.29,33.5,Delivered,7,5.0249999999999995
PNL00000011,2025-03-05,D001,Electric Van,Standard,28.93,9.5,Delivered,8,0.0
PNL00000012,2025-03-01,D007,Diesel Van,Standard,17.24,12.2,Delivered,8,1.8299999999999998
PNL00000013,2025-01-21,D002,Diesel Van,Standard,4.62,26.7,Delivered,3,4.005
PNL00000014,2025-02-02,D005,Large Truck,Standard,9.41,14.7,Failed-Address,9,12.495
PNL00000015,2025-03-17,D002,Cargo Bike,Standard,24.03,20.2,Delivered,10,0.0
PNL00000016,2025-02-27,D001,Diesel Van,Next Day,15.74,22.9,Delivered,10,3.4349999999999996
PNL00000017,2025-01-22,D006,Large Truck,Next Day,5.73,27.6,Delivered,10,23.46
PNL00000018,2025-03-30,D005,Diesel Van,Next Day,3.18,12.8,Delivered,6,1.92
PNL00000019,2025-02-18,D001,Electric Van,Next Day,12.98,9.0,Delivered,4,0.0
PNL00000020,2025-02-28,D002,Electric Van,International,10.19,19.1,Delivered,8,0.0
PNL00000021,2025-02-11,D003,Diesel Van,International,19.71,5.5,Delivered,4,0.825
PNL00000022,2025-03-01,D004,Electric Van,Next Day,27.76,24.7,Delivered,4,0.0
PNL00000023,2025-03-21,D001,Large Truck,International,7.51,38.1,Delivered,8,32.385
PNL00000024,2025-01-15,D007,Cargo Bike,International,25.67,7.1,Returned,4,0.0
PNL00000025,2025-03-03,D002,Electric Van,Standard,27.62,6.8,Delivered,1,0.0
PNL00000026,2025-03-03,D007,Diesel Van,Next Day,27.07,5.4,Delivered,6,0.81
PNL00000027,2025-02-16,D007,Cargo Bike,International,28.57,38.5,Delivered,8,0.0
PNL00000028,2025-03-03,D007,Large Truck,International,25.28,5.5,Delivered,3,4.675
PNL00000029,2025-02-20,D007,Cargo Bike,Next Day,17.85,44.3,Delayed,2,0.0
PNL00000030,2025-02-24,D007,Diesel Van,Standard,12.35,17.4,Delivered,6,2.61
PNL00000031,2025-03-05,D005,Cargo Bike,Next Day,14.8,16.1,Delivered,1,0.0
PNL00000032,2025-01-03,D001,Diesel Van,Standard,26.19,5.9,Delivered,5,0.885
PNL00000033,2025-02-20,D001,Diesel Van,International,9.11,27.2,Delayed,6,4.08
PNL00000034,2025-01-07,D004,Electric Van,Standard,4.86,27.2,Delivered,8,0.0
PNL00000035,2025-01-21,D002,Electric Van,Standard,4.31,23.2,Delivered,7,0.0
PNL00000036,2025-03-14,D003,Diesel Van,Next Day,24.83,15.4,Delivered,6,2.31
